cnpj,pasta,download_individual,local_nfe,state_imported_nfe,gap_nfe,local_cte,state_imported_cte,gap_cte
04045101000300,0938_PIQUETUR_LOG_LOGISTICA_E_TRANSPORTE_LTDA,NAO,0,0,0,0,0,0
10440380000139,0940_COTRAG_TRANSPORTES_LTDA,NAO,0,115,0,0,112,0
32841151000169,0941_GIBS_TRANSPORTES_E_LOGISTICA_LTDA,NAO,0,32,0,0,3,0
32841151000240,0942_GIBS_TRANSPORTES_E_LOGISTICA_LTDA,NAO,0,0,0,0,0,0
03578450000154,0960_ATG_COMERCIO_E_ASSISTENCIA_TECNICA_LTDA,NAO,0,62,0,0,2,0
12136415000257,0964_DUX_TRUCKING_TRANSPORTES_E_LOGISTICA_LTDA,NAO,0,0,0,0,834,0
46025929000176,0966_PCONTAB_CONTABILIDADE_LTDA,NAO,0,0,0,0,0,0
69050532000210,0968_TRIONON_TRANSPORTES_LTDA,NAO,0,0,0,0,0,0
08858785002355,0971_MAFRO_TRANSPORTES_LTDA,NAO,0,7,0,0,0,0
10528467000162,0972_REIS_DE_FRANCA_TRANSPORTES_LTDA,NAO,0,0,0,0,155,0
12136415000338,0974_DUX_TRUCKING_TRANSPORTES_E_LOGISTICA_LTDA,NAO,0,0,0,0,55,0
01604588000406,0981_BOZZI_LOGISTICA_E_TRANSPORTE_LTDA,NAO,0,13,0,0,10,0
03349915000871,0984_JAT_TRANSPORTES_E_LOGISTICA_S.A,NAO,0,0,0,0,0,0
27641439000150,0986_AFR_LOGISTICA_E_TRANSPORTE_LTDA,NAO,0,0,0,0,0,0
15537157000209,0987_SITREX_SISTEMA_INTERNACIONAL_DE_TRANSPORTE_RODOVIARIO_EXPRESSO_LTDA,SIM,0,59,0,0,26,0
27641439000230,0992_AFR_LOGISTICA_E_TRANSPORTE_LTDA,NAO,0,0,0,0,0,0
27641439000311,0993_AFR_LOGISTICA_E_TRANSPORTE_LTDA,NAO,0,0,0,0,0,0
03349915000952,0994_JAT_TRANSPORTES_E_LOGISTICA_S.A,NAO,0,17,0,0,433,0
12703573000322,0995_BR_BULK_LOGISTICA_E_TRANSPORTES_LTDA.,NAO,0,0,0,0,61,0
15537157000390,0997_SITREX_SISTEMA_INTERNACIONAL_DE_TRANSPORTE_RODOVIARIO_EXPRESSO_LTDA,NAO,0,35,0,0,22,0
55592911000147,1118_ABL_COMERCIO_DE_VEICULOS_E_AERONAVES_E_PARTICIPACOES_LTDA,NAO,0,0,0,0,0,0
06218182000581,1142_BT_LOGISTICA_INTEGRADA_LTDA,NAO,0,0,0,0,0,0
12331289000100,0520_COOPERATIVA_DE_TRANSPORTES_VIARIOS_LTDA,NAO,0,0,0,0,0,0
45956679000125,0519_COOPERATIVA_DOS_TRANSPORTADORES_DE_VEICULOS_E_DE_CARGAS_EM_GERAL,NAO,0,0,0,0,0,0
16616292000121,0440_COOPERESTRADA_COOP.TRANSP.E_LOGIST.,NAO,0,0,0,0,0,0
03188264000109,0412_COOPERSEMO_COOPERATIVA_DE_SERVICOS_DE_TRANSPORTES,NAO,0,0,0,0,0,0
64586464000104,0039_INTERATIVA_COMUNICACAO_E_MARKETING_LTDA,NAO,0,0,0,0,0,0
28736063000200,0801_MHE9_LOGISTICA_LTDA,NAO,0,0,0,0,552,0
28736063000472,0821_MHE9_LOGISTICA_LTDA,NAO,0,1,0,0,724,0
55390458000196,1119_MHYT_ADMINISTRADORA_DE_BENS_PROPRIOS_LTDA,NAO,0,0,0,0,0,0
38480724000152,0802_NILTON_TONIN_JUNIOR_SERVICOS_ADMINISTRATIVOS,NAO,0,0,0,0,0,0
54624788000136,1136_OTA_TRANSPORTES_LTDA,NAO,0,0,0,0,0,0
22629104000100,1085_PAULO_CEZAR_FASSINA_-_ASSESSORIA_ADMINISTRATIVA,NAO,0,0,0,0,0,0
39493405000144,0973_PREMIUM_WORK_LOGISTICA_E_TRANSPORTE_LTDA,NAO,0,83,0,0,104,0
08644400000141,0648_SCALA_PARTICIPACOES_E_EMPREENDIMENTOS_LTDA,NAO,0,0,0,0,0,0
51769749000139,1107_SMR_SERVICOS_E_TRANSPORTES_LTDA,NAO,0,0,0,0,0,0
14878453001100,1143_SOMERLOG_LOGISTICA_E_TRANSPORTES_LTDA,NAO,0,0,0,0,0,0
04744193000146,0300_TRANSGRANEIS_EMPRESA_DE_TRANSPORTES_LTDA,NAO,0,0,0,0,0,0
18583679000154,0503_TRANSPORTE_E_LOGISTICA_SAO_JUDAS_TADEU_LTDA,NAO,0,0,0,0,0,0
